codigo,fecha,hora
MARTY,05/06/2026,09:00
AGUS,05/06/2026,10:00
SANTI,09/06/2026,10:00
MONO,10/06/2026,09:00
PABLIS,10/06/2026,09:10
ALCI,10/06/2026,09:15
ALET,10/06/2026,09:20
